CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
AUTOMAÇÃO INDUSTRIAL,7,"616,30","SISU, EDITAL DE TRANSFERÊNCIA, DIPLOMADO",TECNÓLOGO,35,"INDÚSTRIAS AUTOMOBILÍSTICAS, ALIMENTÍCIAS, QUÍMICAS, PETROQUÍMICAS","4.186,74-8.281,00",15,JUAZEIRO DO NORTE,PRESENCIAL,MATUTINO/NOTURNO,"Capacita o profissional para projetar e gerenciar a instalação e o uso de sistemas automatizados de controle e supervisão.",https://portal.ifce.edu.br/cursos/juazeiro-do-norte-automacao-industrial/,Exatas & Engenharias
BRINQUEDOTECA,6,N/A,"EDITAL DE TRANSFERÊNCIA, DIPLOMADO",TECNÓLOGO,20,"ESCOLAS, CONDOMÍNIOS, HOSPITAIS, CLÍNICAS, CENTROS CULTURAIS","1.600,00-3.000,00",10,JUAZEIRO DO NORTE,PRESENCIAL,INTEGRAL,"Forma profissionais habilitados a participar do planejamento e da realização de atividades lúdicas direcionadas para diversos públicos.",https://portal.ifce.edu.br/cursos/juazeiro-do-norte-brinquedoteca/,Humanas & Educação
CONTROLE AMBIENTAL,6,"578,49","SISU, EDITAL DE TRANSFERÊNCIA, DIPLOMADO",TECNÓLOGO,20,"PREVENÇÃO, MONITORAMENTO E MITIGAÇÃO DE IMPACTOS AMBIENTAIS, INDÚSTRIAS","3.923,21-5.277,33",12,JUAZEIRO DO NORTE,PRESENCIAL,INTEGRAL,"Forma profissionais aptos a propor medidas para minimização dos impactos e recuperação de ambientes já degradados.",https://portal.ifce.edu.br/cursos/juazeiro-do-norte-controle-ambiental/,Exatas & Engenharias
EDUCAÇÃO FÍSICA,8,"744,79","SISU, EDITAL DE TRANSFERÊNCIA, DIPLOMADO",LICENCIATURA/BACHARELADO,35,"ESCOLAS, ACADEMIAS, CLUBES ESPORTIVOS, HOTÉIS, SPAS","2.800,00-3.800,00",15,JUAZEIRO DO NORTE,PRESENCIAL,INTEGRAL,"Habilita para a docência escolar ou atuação em estabelecimentos ligados à prática de esportes e atividades físicas.",https://portal.ifce.edu.br/cursos/juazeiro-do-norte-educacao-fisica/,Saúde
ENGENHARIA AMBIENTAL E SANITÁRIA,10,"559,00","SISU, EDITAL DE TRANSFERÊNCIA, DIPLOMADO",BACHARELADO,35,"SANEAMENTO BÁSICO, GESTÃO DE RESÍDUOS, LICENCIAMENTO AMBIENTAL","3.003,00-3.200,00",10,JUAZEIRO DO NORTE,PRESENCIAL,INTEGRAL,"Estuda processos voltados ao desenvolvimento sustentável, preservação ambiental e gestão de sistemas de saneamento.",https://portal.ifce.edu.br/cursos/juazeiro-do-norte-engenharia-ambiental-e-sanitaria/,Exatas & Engenharias
ENGENHARIA CIVIL,10,"657,00","SISU, EDITAL DE TRANSFERÊNCIA, DIPLOMADO",BACHARELADO,40,"PLANEJAMENTO, EXECUÇÃO, PROJETO E FISCALIZAÇÃO DE OBRAS CIVIS","6.700,00-11.000,00",10,JUAZEIRO DO NORTE,PRESENCIAL,VESPERTINO/NOTURNO,"Forma profissionais para atividades de planejamento, projeto, execução e manutenção de obras civis e de infraestrutura.",https://portal.ifce.edu.br/cursos/juazeiro-do-norte-engenharia-civil/,Exatas & Engenharias
MATEMÁTICA,8,"658,77","SISU, EDITAL DE TRANSFERÊNCIA, DIPLOMADO",LICENCIATURA/BACHARELADO,35,"ESCOLAS, PESQUISA, MERCADO FINANCEIRO, TECNOLOGIA, LOGÍSTICA","2.261,00-18.450,00",10,JUAZEIRO DO NORTE,PRESENCIAL,MATUTINO/VESPERTINO,"Proporciona sólida base matemática para docência no ensino fundamental e médio ou atuação em investigação científica.",https://portal.ifce.edu.br/cursos/juazeiro-do-norte-matematica/,Exatas & Engenharias
MATEMÁTICA (SEMIPRESENCIAL),8,"625,00","SISU, EDITAL DE TRANSFERÊNCIA, DIPLOMADO",LICENCIATURA/BACHARELADO,36,"ESCOLAS, PESQUISA, MERCADO FINANCEIRO, TECNOLOGIA, LOGÍSTICA","2.261,00-18.450,00",10,JUAZEIRO DO NORTE,EAD,MATUTINO/VESPERTINO/NOTURNO,"Visa a formação de licenciados em matemática para atuação na educação básica com flexibilidade de horários.",https://portal.ifce.edu.br/cursos/matematica/,Exatas & Engenharias
LETRAS PORTUGUÊS/ESPANHOL,9,"629,81","SISU, EDITAL DE TRANSFERÊNCIA, DIPLOMADO",LICENCIATURA,40,"DOCÊNCIA NA EDUCAÇÃO BÁSICA, ESTUDOS LINGUÍSTICOS E LITERÁRIOS","2.500,00-5.600,00",12,CRATO,PRESENCIAL,VESPERTINO/NOTURNO,"Forma docentes para atuar nos diversos níveis de ensino, com foco na interculturalidade e prática reflexiva.",https://portal.ifce.edu.br/cursos/crato-letras-portuguesespanhol/,Humanas & Educação
SISTEMAS DE INFORMAÇÃO,8,"659,71","SISU, EDITAL DE TRANSFERÊNCIA, DIPLOMADO",BACHARELADO,30,"GESTÃO DE SISTEMAS DE INFORMAÇÃO, AUTOMAÇÃO E ORGANIZAÇÕES","3.000,00-8.000,00",10,CRATO,PRESENCIAL,NOTURNO,"Oferece formação sólida em automação e gestão dos sistemas de informação das organizações.",https://portal.ifce.edu.br/cursos/crato-sistemas-de-informacao/,Tecnologia & TI
