CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
ADMINISTRAÇÃO,8,450-550,"MEGA VESTIBULAR, ENEM, TRANSFERIDOS, GRADUADOS",BACHARELADO,30,"EMPRESAS PÚBLICAS, PRIVADAS, ORGANIZAÇÕES SOCIAIS","2.000,00-3.500,00",20-40,LAGOA SECA,PRESENCIAL,NOTURNO,"O bacharel possui habilidades para empreender, criar e gerir empresas, identificando oportunidades de negócio.",https://unileao.edu.br/graduacao/administracao/,Negócios & Gestão
BIOMEDICINA,8,500-600,"MEGA VESTIBULAR, ENEM, TRANSFERIDOS, GRADUADOS",BACHARELADO,60,"INDÚSTRIA DE ALIMENTOS, MEDICAMENTOS E INSTITUIÇÕES DE SAÚDE","2.000,00-3.500,00",15-30,SAÚDE,PRESENCIAL,MATUTINO/NOTURNO,"Forma profissionais aptos para a pesquisa de doenças humanas, suas causas e tratamentos.",https://unileao.edu.br/graduacao/biomedicina/,Saúde
CIÊNCIAS CONTÁBEIS,8,450-550,"MEGA VESTIBULAR, ENEM, TRANSFERIDOS, GRADUADOS",BACHARELADO,30,"CONTABILIDADE, AUDITORIA, CONSULTORIA, TRIBUTAÇÃO","2.500,00-4.000,00",20-40,LAGOA SECA,PRESENCIAL,NOTURNO,"Forma profissionais com visão holística, responsáveis pela organização financeira das empresas.",https://unileao.edu.br/graduacao/ciencias-contabeis/,Negócios & Gestão
DIREITO,10,550-650,"MEGA VESTIBULAR, ENEM, TRANSFERIDOS, GRADUADOS",BACHARELADO,200,"ADVOCACIA, PROCURADORIA, PROMOTORIA, MAGISTRATURA","2.000,00-5.000,00",30-60,LAGOA SECA,PRESENCIAL,MATUTINO/NOTURNO,"Forma profissionais preparados para dominar teoria e técnica de maneira crítica, ética e estratégica.",https://unileao.edu.br/graduacao/direito/,Humanas & Educação
EDUCAÇÃO FÍSICA (LIC),8,450-550,"MEGA VESTIBULAR, ENEM, TRANSFERIDOS, GRADUADOS",LICENCIATURA,30,"ESTABELECIMENTOS DE ENSINO FORMAL EM TODOS OS NÍVEIS","1.500,00-3.000,00",20-40,LAGOA SECA,PRESENCIAL,MATUTINO/NOTURNO,"Forma professores capacitados para intervir nos ensinos infantil, fundamental e médio.",https://unileao.edu.br/graduacao/educacao-fisica/,Humanas & Educação
EDUCAÇÃO FÍSICA (BACH),8,450-550,"MEGA VESTIBULAR, ENEM, TRANSFERIDOS, GRADUADOS",BACHARELADO,30,"ACADEMIAS, ESPORTES, MUSCULAÇÃO, HOTÉIS, SPAS","1.500,00-2.500,00",20-40,LAGOA SECA,PRESENCIAL,MATUTINO/NOTURNO,"Capaz de atuar com as diversas manifestações corporais e de movimento de forma dinâmica.",https://unileao.edu.br/graduacao/educacao-fisica/,Saúde
ENFERMAGEM,10,500-600,"MEGA VESTIBULAR, ENEM, TRANSFERIDOS, GRADUADOS",BACHARELADO,60,"SAÚDE COLETIVA, GESTÃO HOSPITALAR, DOCÊNCIA E PESQUISA","3.000,00-4.500,00",20-40,SAÚDE,PRESENCIAL,MATUTINO/NOTURNO,"Profissional capaz de intervir no processo saúde-doença em todos os níveis de atenção à saúde.",https://unileao.edu.br/graduacao/enfermagem/,Saúde
FISIOTERAPIA,10,500-600,"MEGA VESTIBULAR, ENEM, TRANSFERIDOS, GRADUADOS",BACHARELADO,60,"HOSPITAIS, CLÍNICAS, ACADEMIAS E INDÚSTRIAS","1.800,00-3.000,00",20-35,LAGOA SECA,PRESENCIAL,MATUTINO/NOTURNO,"Formação técnico-científica coerente com as necessidades de reabilitação do mercado.",https://unileao.edu.br/graduacao/fisioterapia/,Saúde
MEDICINA,12,600,"ENEM, TRANSFERIDOS, PROUNI, FIES",BACHARELADO,60,"CLÍNICAS, HOSPITAIS, EMERGÊNCIA, UTI E SAÚDE PÚBLICA","10.000,00-15.000,00",25-35,LAGOA SECA,PRESENCIAL,INTEGRAL,"Foco na prática desde o início do curso para atender às necessidades sociais e de saúde pública.",https://unileao.edu.br/graduacao/medicina/,Saúde
MEDICINA VETERINÁRIA,10,550-650,"MEGA VESTIBULAR, ENEM, TRANSFERIDOS, GRADUADOS",BACHARELADO,60,"CLÍNICA, CIRURGIA, SAÚDE PÚBLICA E PRODUÇÃO ANIMAL","2.000,00-4.000,00",20-40,LAGOA SECA,PRESENCIAL,MATUTINO/NOTURNO,"Formação consistente para garantir a saúde e o bem-estar dos animais.",https://unileao.edu.br/graduacao/medicina-veterinaria/,Saúde
