CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
MEDICINA,12,770-790,Vestibular/SISU,BACHARELADO,30-40,SAÚDE HOSPITALAR,"12.000,00-18.000,00",25,BARBALHA,PRESENCIAL,INTEGRAL,"Formação de médicos para atenção básica e especializada.",Medicina – Universidade Regional do Cariri – URCA,Saúde
DIREITO,10,680-710,Vestibular/SISU,BACHARELADO,80,"JURÍDICA, ADVOCACIA","4.500,00-8.000,00",35,CRATO/IGUATU,PRESENCIAL,DIURNO/NOTURNO,"Carreira em advocacia, magistratura e concursos públicos.",Direito – Universidade Regional do Cariri – URCA,Humanas & Educação
ENFERMAGEM,10,650-680,Vestibular/SISU,BACHARELADO,30-40,"SAÚDE, ENFERMAGEM","3.800,00-5.500,00",28,CRATO/IGUATU,PRESENCIAL,INTEGRAL,"Assistência hospitalar, gestão de saúde e saúde da família.",Enfermagem – Universidade Regional do Cariri – URCA,Saúde
ENGENHARIA DE PRODUÇÃO,10,610-640,Vestibular/SISU,BACHARELADO,40,"INDÚSTRIA, GESTÃO","5.500,00-9.000,00",20,JUAZEIRO DO NORTE,PRESENCIAL,NOTURNO,"Otimização de processos produtivos e gestão industrial.",Engenharia de Produção – Universidade Regional do Cariri – URCA,Exatas & Engenharias
ARQUITETURA E URBANISMO,10,660-690,Vestibular/SISU,BACHARELADO,30,"CONSTRUÇÃO, URBANISMO","4.000,00-7.500,00",18,JUAZEIRO DO NORTE,PRESENCIAL,INTEGRAL,"Planejamento urbano, projetos residenciais e comerciais.",Arquitetura e Urbanismo – Universidade Regional do Cariri – URCA,Humanas & Educação
CIÊNCIAS BIOLÓGICAS,8,580-620,Vestibular/SISU,LICENCIATURA/BACHARELADO,40,"EDUCAÇÃO, PESQUISA","2.800,00-4.500,00",25,CRATO/CAMPOS SALES/MISSÃO VELHA,PRESENCIAL,DIURNO,"Estudo dos seres vivos, genética e meio ambiente.",Ciências Biológicas – Universidade Regional do Cariri – URCA,Saúde
EDUCAÇÃO FÍSICA,8,570-600,Vestibular/SISU,LICENCIATURA/BACHARELADO,40,"EDUCAÇÃO, ESPORTE","2.500,00-4.200,00",30,CRATO/IGUATU,PRESENCIAL,DIURNO,"Promoção da saúde através de atividades físicas e esportes.",Educação Física – Universidade Regional do Cariri – URCA,Saúde
GEOGRAFIA,8,550-580,Vestibular/SISU,LICENCIATURA/BACHARELADO,40,"EDUCAÇÃO, AMBIENTAL","2.800,00-4.500,00",22,CRATO,PRESENCIAL,NOTURNO,"Análise do espaço geográfico e planejamento territorial.",Geografia – Universidade Regional do Cariri – URCA,Humanas & Educação
MATEMÁTICA,8,530-560,Vestibular/SISU,LICENCIATURA,40,"EDUCAÇÃO, ESTATÍSTICA","3.000,00-5.500,00",15,CRATO/CAMPOS SALES,PRESENCIAL,DIURNO,"Desenvolvimento do raciocínio lógico e docência.",Matemática – Universidade Regional do Cariri – URCA,Exatas & Engenharias
PEDAGOGIA,8,550-590,Vestibular/SISU,LICENCIATURA,45,EDUCAÇÃO INFANTIL,"2.500,00-3.800,00",35,CRATO/IGUATU,PRESENCIAL,NOTURNO,"Gestão escolar e processos de ensino-aprendizagem.",Pedagogia – Universidade Regional do Cariri – URCA,Humanas & Educação
